societe;email;telephone;
42TEA;lionel@42tea.io;0629242786
ADDIXO;af@addixo.com;+33 1 46 46 11 90
ADECOL;dsuissa@zonedactivite.com;0770990379
ADENIS;directioncommerciale@groupe-adenis.fr;01 48 24 07 07
ADERHIS;;01 40 92 62 00
ADIPSYS;support@adipsys.com;09 67 19 22 34
ADITUS TECHNOLOGIES;contact@aditus-technologies.fr;0182834314
ADIX;adix@adix.fr;01 43 27 36 06
ADLER LEARNING FRANCE;jguillouet@adlerlearningfrance.com;
ADN;contact@adn-soft.com;01.71.18.31.06
ADN INFORMATIQUE;contact@adnfrance.com;05 61 90 81 60
ADP GSI FRANCE;info@europe.adp.com;01 55 63 50 00
ADVANSEEZ;contact@advanseez.com;02 99 23 17 45
ADVENCES;administrative@advences.com;01 86 26 09 80
ADVENS;contact@advens.fr;03 20 68 41 81
ADVENTIUM TECHNOLOGIES;societe@adventium.fr;01 47 17 65 42
Advise Technologies France;;01 82 88 89 01
AFNIC;afnic@afnic.fr;01 39 30 83 99
AGENCE NOCTA;;04 97 08 84 54
AGFA HEALTHCARE FRANCE;;01 72 94 68 00
Agileo Automation;contact@agileo-automation.com;05 49 49 61 79
ADN INFORMATIQUE;contact@adnfrance.com;05 61 90 81 60
ADP GSI FRANCE;info@europe.adp.com;01 55 63 50 00
ADVANSEEZ;contact@advanseez.com;02 99 23 17 45
ADVENCES;administrative@advences.com;01 86 26 09 80
ADVENS;contact@advens.fr;03 20 68 41 81
ADVENTIUM TECHNOLOGIES;societe@adventium.fr;01 47 17 65 42
Advise Technologies France;;01 82 88 89 01
AFNIC;afnic@afnic.fr;01 39 30 83 99
AGENCE NOCTA;;04 97 08 84 54
AGFA HEALTHCARE FRANCE;;01 72 94 68 00
Agileo Automation;contact@agileo-automation.com;05 49 49 61 79
AGILITECH;info@agilitech.fr;04 22 13 62 50
AGIXIS;contact@agixis.com;04 27 02 74 49
AIMAIRA;jean@aimaira.fr;0184193405
AIO SOLUTIONS;contact@aio-solutions.fr;04 92 99 17 05
AIRBORNE CONCEPT;contact@airborne-concept.com;05 61 59 29 89
AKENEO;accounting@akeneo.com;09 83 82 12 73
AKERVA;contact@akerva.com;01.53.76.86.35
AKKA TECHNOLOGIES;;01 56 69 26 59
AKTARMA;rendez-vous@aktarma.fr;02 47 87 47 04
AKUITEO;r.bonifay@akuito.com;04 26 59 86 81
Alan;contact@alan.eu;
ALANTAYA;yannick@alantaya.com;
ALB;alb@alb-si.fr;0178946131
ALCMÉON;;
ALCYOR;contact@alcyor.fr;04 72 72 05 00
Alere e-sante SAS;julien.martel@alere.com;01 39 46 83 18
ALGANDYOU SAS;;05 61 55 98 74
ALGO'TECH INFORMATIQUE;contact@algotech.fr;05 59 01 59 60
ALGOLIA;contact@algolia.com;
ALIBEEZ;contact@alibeez.com;01 80 87 44 04
Alien6;contact@alien6.com;
ALIPTIC;contact@aliptic.net;05 55 71 39 70
ALIZEE INFORMATIQUE;contact@alizee-info.fr;03 81 47 27 70
all-in-web;contact@all-in-web.fr;01 41 25 75 10
ALL4IT FRANCE SAS;info@all4it.com;03 20 84 35 20
ALL4TEST;contact@all4test.com;04 89 82 92 24
ALLANCE;contact@allance.fr;01 85 08 50 86
Allbrary;;
ALLEGORITHMIC;contact@allegorithmic.com;06 60 63 46 12
ALMAVIA;contact@almavia.fr;01 48 00 05 71
ALMETIS;;
ALPI;;01 47 52 97 27
ALTAYS;contact@altays.com;01 78 09 73 90
ALTECA;alteca@alteca.fr;04 72 69 72 72
ALTEIS;info@alteis.fr;01 30 09 70 60
ALTEN SA;;01 46 08 72 00
ALTENSE;contact@altense.fr;0184202122
ALTER SYSTEMS;contact@altersystems.fr;04 72 29 19 34
ALTER WAY;;01 41 16 38 46
Alternativ Conseil SAS;contact@alternativ-conseil.fr;
Alternative Digitale;contact@aternativedigitale.com;
ALTIAD;contact@altiad.com;01 45 63 07 00
ALTICAP;contact@alticap.com;02 31 29 43 80
ALTIK;;01 69 18 17 50
Altilink;jfg@altilink.com;
ALTIM FRANCE;contact@altim-consulting.com;01 41 03 15 87
ALTIMATE;groupe-altimate@groupe-altimate.fr;01 47 52 15 15
ALTO INFORMATIQUE;contact@alto-informatique.com;01 43 35 49 18
ALTRAN;;01 30 67 48 00
ALTUP CONSEIL;contact@altup-conseil.fr;04 75 88 23 74
ALTURING;telintrans@telintrans.fr;01 56 30 71 00
ALTYS TECHNOLOGIES;procurement@altys-tech.net;09 88 77 74 00
AMADEUS S.A.S;;04 92 94 60 00
AMANZE;;0619172270
AMARRELO;vincent.brault@amarrelo.com;04 83 59 80 21
AMAZINGCONTENT;contact@amazingcontent.io;06 87 54 59 00
Amazon Support Services France SAS;;
AMBITIO;christian.caisso@ambitio.fr;02 23 46 19 83
AMBRIVA;sebastien.oum@ambriva.com;0184167284
AMD CONSULTING;contact@amd-consulting.fr;01 53 43 89 34
AMEG ATLANTIC;;02-40-18-05-42
AMILTONE;direction@amiltone.com;04 37 70 89 95
AMJ GROUPE;info@amj-groupe.com;01 53 76 00 00
AMPLEMENT;;0185090432
ANAPLAN;;01 84 88 40 44
ANATEC;contact@anatec.io;
ANEO;daf@aneo.fr;01 46 44 24 66
ANEVIA;hr@anevia.com;
ANTARES IT;guillaume.simon@antares.fr;01 47 29 12 92
ANTENIA;contact@antenia.fr;01 44 94 01 77
ANYWARE VIDEO;;0491428856
AOTA;;
Api Business;antoine@apibusiness.com;
apilean;contact@apilean.com;
APITECH;apitech@apitech.fr;04 78 43 49 30
APLON;abrossard@aplon.org;08 00 80 04 83
APOLLO SSC;contact@apollossc.com;04 78 35 45 70
APPIC SERVICES ALTAMYS;info@altamys.com;01 46 00 67 40
APPLILOGIK;direction@applilogik.fr;0477237823
APPS PANEL;contact@apps-panel.com;04 82 53 32 30
APPS2COM;contact@apps2com.fr;0169599900
APT-SYS MALLYANCE;;01 77 35 07 79
APTEOS Management & Consulting;jc.klarer@apteos.eu;
APX INTEGRATION;marketing@apx.fr;01 41 31 92 92
APYCAT;xavier@apycat.com;0632645048
AQUILOG;info@aquilog.fr;06 24 68 25 24
AR24;;08 11 69 05 45
Araxxe;araweb@araxxe.com;01 44 30 03 16
ARC INFORMATIQUE;arcnews@arcinfo.com;01 41 14 36 00
Arcanum;;
ARCESI;contact@archesi-ea.com;05 62 86 23 52
ARCHITECTURES INFORMATIQUES;gerant@architectures-informatiques.com;0609156118
ARGOLIFE;ghada.aouadhi@argolife.fr;0155255088
ARICIE;aboige@aricie.fr;04 75 68 74 51
ARKADIN;;01 44 65 25 00
ARKAMYS;contact@arkamys.com;01 79 97 14 50
ARMADEUS SYSTEMS;nicolas.colombain@armadeus.com;09 72 29 41 44
ARMATURES TECHNOLOGIES;contact@armaturetech.com;
ARPEGE;arpege@arpege.tm.fr;08 20 16 58 00
ARPEGE MASTER K;marketing@masterk.com;04 72 22 92 22
ARROW ECS;contact@arrowecs.fr;01 49 97 49 00
ARTELYS S.A;info@artelys.com;01 44 77 89 00
ARTERES;jf.boisson@orange.fr;06 74 98 47 06
ARTIK CONSULTING;artik@artik-consulting.com;01 84 06 36 09
AS International Group;;01 44 51 05 51
AS2I NORD;;
ASAÏS;commercial@asais.fr;01 43 05 58 00
ASAP Conseil;bertrand.mangez@asapconseil.com;01 84 16 38 34
ASE2i;ase2i@ase2i.fr;03 88 40 30 90

ATONIS TECHNOLOGIES;contact@atonis.com;04 66 26 34 88
ATONIS TECHNOLOGIES;contact@atonis.com;04 66 26 34 88
ATOS;fr-offres@atosorigin.com;01 73 26 00 00
ATR6;atrsix@wanadoo.fr;01 48 24 81 81
ATREAL;contact@atreal.net;04 91 29 42 81
ATREAL OUEST;sdoudet@atreal.fr;
ATS SYSTEMS;;
AUBANS;contact.vba@itea-rh.fr;03 88 79 79 79
AUBAY;infocorp@aubay.com;01 46 10 67 67
AUDAE;contact@audae.eu;
AUGEO SOFTWARE;info.fr@augeo.com;01 46 10 15 10
Aurea Retail Solutions;ltoulemonde@aurea.com;
AUSY;communication@ausy.fr;01 41 08 65 65
AUTICIEL;contact@auticiel.com;09 72 39 44 44
Auticonsult;contact@auticonsult.fr;01 77 93 25 42
AUTOBIZ;f.trevisan@autobiz.com;
AutoForm Engineering France;info@autoform.fr;04 42 90 42 60
AUTONOMENS;contact@autonomens.com;
AUTOVISUAL FRANCE;contact@autovisual.com;01 53 38 98 05
Avanista;contact@avanista.fr;01 49 84 85 85
AVENCIS;frederic.pierre@avencis.net;01 75 57 87 59
Avenir Telecom;;04 88 00 60 00
AVENUE E SOLUTIONS;contact@avenue-e-solutions.com;01 47 55 09 26
AVICEN;hello@avicen.io;04 43 86 02 53
AVIS2C;contact@avis2c.fr;0665403389
AVISIENCE CONSULTING;info@avisience.com;01 85 08 33 68
AVTIS;;01 70 60 06 50
AXIANS;francis.espoeys@axians.com;01 41 39 88 10
AXIDO SERVICES;;01 47 93 32 75
AXWAY;webmaster@axway.com;01 47 17 24 24
AYMAX Consulting;contact-it@aymax.fr;01 41 32 53 60
AZALEAD;info@azalead.com;01 62 58 25 85
AZENDOO;contact@azendoo.com;05 33 52 02 70
AZNETWORK;contact@aznetwork.fr;02 33 32 12 47
AZOTH RESEARCH;;
B.WORKSHOP;contact@bworkshop.fr;01 70 36 70 45
BAAO;;01 73 03 33 44
BADAKAN;contact@badakan.com;0170230380
BADPAYEUR.COM;contact@badpayeur.com;0661538821
BALDWIN PARTNERS;contact@baldwin-partners.com;02 85 52 68 3
BANCTEC BUSINESS OUTSOURCING;;01 64 76 20 00
BANKAPART;;
BASWARE FRANCE SAS;bertrand.aumoite@basware.com;01 40 08 18 20
BAW BUSINESS AT WORK;d.laville@b-a-w.com;01 48 24 66 00
BAYBRIDGEDIGITAL;;
BAYLIBRE;contact@baylibre.com;
BE BRAVE;;
BE HAPPY COMMUNICATION;contact@behappycom.com;09 72 62 01 14
BEARINGPOINT FRANCE SAS;france.contact@bearingpointconsulting.com;01 58 86 30 00
BEE ON WEB;contact@siteasy.eu;02 47 86 00 11
BEEPEERS;;04 89 86 69 48
BELHARRA SAS;contact@belharra.fr;05 59 70 40 70
BEMORE FRANCE;nice@bemore.com;04 92 09 44 84
BETASERIES;contact@betaseries.com;0603622668
BEWE;CONTACT@BEWE.EU;06 30 17 41 24
BEWELL CONNECT;contact@visiomed-lab.fr;01 40 67 06 50
BEWISE;laurent.galmiche@bewise.fr;04 42 12 74 78
BFD SA;pmichelin@bfd.fr;01 42 24 50 60
BGFI CONSULTING - ADNEOM;contact@bgficonsulting.com;01 46 12 09 70
BH CONSULTING FRANCE;contact@bh-consulting.net;
BIAL-X SAS;la-BI-immediate@BIAL-X.com;04 72 57 89 95
BIGMITCH;thomas@bigmitch.fr;
Bilberry;;
BIME;contact@wearecloud.com;04 67 41 60 64
BIOMODEX;contact@biomodex.com;
BISAM;contact@bi-sam.com;01 42 85 73 00
BITTLE;contact@bittle-solutions.com;04 42 12 54 57
BIZ&WORTH;contact@biznworth.com;0184790209
BK CONSULTING;comptabilite@bk-consulting.com;01 55 70 29 30
BLACKLINE SYSTEMS;;
BLOCKCHAIN STRATEGISTS;contact@BlockChain-Strategists.fr;
BLUE FROG ROBOTICS;contact@bluefrogrobotics.com;
BLUE-CHANNEL;nk@blue-channel.com;06 63 25 68 77
BLUELINEA;rh@bluelinea.com;01 76 21 70 60
BLUPODS EUROPE;matthieu@blupods.com;0630154540
BMB-Services;contact@bmb-services.com;
BMC SOFTWARE FRANCE;france_support@bmc.com;01 57 00 61 00
BMI SYSTEM;b.dillen@bmi-system.com;01 40 91 83 94
BOCASAY;contact@bocasay.com;01 73 79 19 43
BODET SOFTWARE;marketing@bodet.software.com;08 25 81 44 00
Boot-Start SAS;contact@boot-start.com;
Botify;jobs@botify.com;
BOURGOGNE FRANCHE COMTE NUMERIQUE;contact@bfcnumerique.fr;03 80 60 40 41
Box;;
Brainify;contact@brainify.it;
BRANDSILVER;;
BRESS HEALTHCARE;contact@bress.fr;
BRINK'S SOFTWARE SERVICES ET SOLUTIONS;info@brinks.com;01 41 11 41 91
BROCELIA;contact@brocelia.fr;01 42 86 63 00
BSO COMMUNICATION SAS;contact.fr@bsonetwork.com;01 77 36 11 21
BT SERVICES;bt.france@bt.com;01 78 41 20 00
Bubbleting;contact@bubbleting.com;09 53 00 73 62
BUILDRZ;suzanne@buildrz.io;01 80 89 60 33
BUSINESS & DECISION;;01 56 21 21 21
BUSINESS APTITUDE;contact@business-aptitude.com;03 66 59 70 00
Busit;contact@busit.com;04 89 97 36 50
BUZZINESS.COM;contact@buzziness.com;0682594863
BUZZNATIVE;julien.hatton@buzznative.com;
BV ASSOCIATES;contact@bvassociates.fr;01 30 48 01 21
BYPATH;admin@bypath.com;
C LIBRE;syntec@c-libre.net;05 58 97 67 01
C'EST FRAIS;contact@cestfrais.fr;
C2RIS;contact@c2ris.com;07 77 03 07 28
C2S;info@c2s.fr;01 30 60 82 00
C4W;contact@c4w.com;
CA TECHNOLOGIES FRANCE;francemktg@ca.com;01 49 02 50 00
Cabinet Cilex;frederic.thu@cabinet-cilex.com;
Cabinity;antoine@cabinity.com;
CALADE TECHNOLOGIES;ludovic.pognon@calade-technologies.com;04 91 11 88 77
CALINDA SOFTWARE;info@calindasoftware.com;04 91 33 41 53
CALYSTENE SA;contact@calystene.com;04 76 41 29 30
CANDYVOICE;contact@candyvoice.com;0607414900
CAP DATA CONSULTING;contact@capdata.fr;01 58 71 48 00
CAPCIR;service.administratif@capcir.fr;0561759499
CAPCOD;bdecavele@capcod.eu;
CAPGEMINI FRANCE;prenom.nom@capgemini.com;01 49 67 30 00
Capitaine Pizza;contact@capitainepizza.com;09 75 18 08 94
CAPITAL BANKING SOLUTIONS;;01 44 43 44 66
CAPTEO;contact@capteo.com;01 40 40 10 10
Care Labs;contact@chequesante.com;
CARL SOFTWARE;info@carl.eu;04 26 29 49 49
CARM2I;franck.depouilly@carm2i.fr;01 46 65 30 66
CARRICK-SKILLS;contact@carrick-skills.com;
CARTELMATIC;cartelmatic@cartelmatic.com;02 99 12 72 12
CASTELIS;contact@castelis.com;01 43 90 19 80
CATALYZE;francois.lochet@catalyze.fr;06 15 93 09 14
CATARTSYS ENTERTAINMENT;contact@catartsys.fr;
CAVACAVE.COM;info@cavacave.com;
CBA INFORMATIQUE LIBERALE;marie-anne.fournier@cbainfo.fr;04 90 84 20 10
CBIEN;;
CCUBE EXPERTISE;;
CDC ARKHINEO;;01 78 09 39 10
CDK GLOBAL;;01 43 62 26 26
CDM E-HEALTH, AIR LIQUIDE HEALTHCARE;;
CDRT;;09 53 71 57 76
CDS SOFT;;04 92 02 45 45
CECURITY.COM;contact_cecurity@cecurity.com;01 56 43 37 37
Celestory;contact@celestorystudio.com;
CENSE;contact@cense.fr;0428290330
CENTREON;contact@merethis.com;01 49 69 97 12
CEO-Vision S.A.S;info@ceo-vision.com;08 11 69 31 11
CERITD;;0164968860
CERNER FRANCE;recrutement@cerner.com;01 76 74 07 00
CETSI;cial@cetsi.fr;01 41 19 40 40
CG Project Management;contact@cg-project-management.fr;
CG2 CONSEIL;info@cg2conseil.com;01 45 24 54 42
CGI FRANCE SAS;info.fr@cgi.com;01 57 87 40 00
CHANGEFORSAAS SOLUTIONS;info@ancodea.com;0631268283
CHAUMEIL Digital;contact@chaumeil.digital;
CHEOPS TECHNOLOGY FRANCE;cheops@cheops.fr;05 56 18 83 83
CHRONOSERVICES;gilles.taib@chronoservices.fr;08 21 20 30 31
CIAG;contact@ciag.fr;05 61 40 00 88
CIETECH;contact@cietech.fr;05 56 99 04 14
CIGEST INFORMATIQUE;info@cigest-group.fr;03 88 56 80 00
CILASOFT;contact@cilasoft.com;04 50 69 45 98
CIMAIL SOLUTIONS;contact@cimail.fr;03 20 82 02 02
CINCOM;cincomparis@cincom.com;01 53 61 70 00
CIO INFORMATIQUE INDUSTRIELLE;christian.charreyre@cioinfoindus.fr;04 95 05 19 41
CIP - CLUB INFORMATIQUE PROVENCE MEDITERRANÉE;contact@cip-paca.org;
CIRCEM;circem@circem.fr;01 60 83 81 05
CIRIL;ciril@ciril.net;04 72 69 16 80
CIS VALLEY;;05 56 11 22 22
CITILOG;citilog@citilog.com;01 41 24 34 52
CITYMEO;contact@citymeo.fr;0184253323
CJS;infocjs@cjs.fr;01 49 03 72 60
ClapSens;cs-info@clapsens.com;
CLARANET;info@claranet.fr;01 70 13 70 00
CLARILOG FRANCE;contact.france@clarilog.com;03 23 65 65 98
CLARTEN SAS;webmaster@feeder.fr;
CLAVESIS;isabelle.zablit@gmail.com;
CLEARBUS;contact@clearbus.fr;04 85 02 96 34
CLEVER AGE;drh@clever-age.com;01 53 34 66 10
CLOUD CONNECTE;lesolleu@cloud-connecte.com;06 60 31 31 55
CLOUDGLOBALSOLUTIONS;ludovico@cloudglobal.eu;+346173266222
CLOUDNETCARE;;01 75 61 03 15
CLUB TIC NORMANDIE;;02 35 55 26 53
CO-DECISION TECHNOLOGY;naillon@comining.org;01 47 02 24 50
CO-RECYCLAGE;renaud@co-recyclage.com;0627288546
COACH FOR EYES;nathalie@coachforeyes.com;
CODI ONE;direction@codi-one.fr;
CODRA;info-codra@codra.fr;01 60 92 34 34
CoESSI;contacts@coessi.fr;01 30 15 78 82
COEXEL;contact@coexel.com;04 94 05 20 36
COFISOFT;info@cofisoft.fr;02 54 22 30 00
COGENDI;bc@cogendi.com;01 41 91 75 75
COGITIS;info@cogitis.fr;04 67 16 18 00
COGNIZANT TECHNOLOGY SOLUTIONS FRANCE;isabelle.babin@cognizant.com;01 70 36 56 60
COLE INTERACTIVE;quentin@cole-interactive.com;
COLLECTIVE THINKING;gestion@collective-thinking.com;01 84 25 04 08
COLLECTIVZ;boris@collectivz.info;0671478697
COM'INT;;
COM.PERFORMANCES;clients@comperformances.fr;03 74 11 12 88
COMARCH;anthony.delvalle@comarch.fr;03 62 53 49 00
COMATEK SAS;contact@comatek.fr;09 51 25 13 87
COMBO SOLUTIONS SARL;hello@combosolutions.eu;04 78 39 44 28
COME OUT;richard.bessis@antheainteractive.com;
COME UP;fabienne@come-up.com;0676385400
Comète;contact@comete.io;
COMMOD;commod@commod.fr;08 10 00 70 26
compellia;contact@compellia.com;
COMPONIZE;;09 70 44 60 47
COMPTACOM;contacts@compta.com;0243641717
COMPUTACENTER FRANCE;;01 48 17 41 00
COMPUTER ENGINEERING;contact@computer-engineering.fr;01 42 68 83 83
COMPUTERLINE INFORMATIQUE;amar@computerline.fr;04 42 58 64 12
Compuware Software Group SAS;;
ComThings;jl.peyre@comthings.com;04 92 10 38 81
COMWATT;contact@comwatt.com;
Concilio;contact@concilio.com;
CONSORT NT;info@consortnt.fr;01 40 88 05 05
CONSTELLATION;contact@constellation.fr;01 58 75 79 04
CONTENTSERV;marketingfrance@contentserv.com;
CONTINGENCES;contact@contingences.com;04 91 11 87 53
CONTINUUM+;contact@continuumplus.net;0145335739
CONTRACTCHAIN;;
ControleTechniqueGratuit.com;contact@controletechniquegratuit.com;03 39 33 00 00
Convergence;contact@convergence-international.com;
CONVERGENCE ITC;contact@convergence-itc.com;03 44 82 43 97
Conversaa;contact@conversaa.com;01 83 64 09 72
COOPERTEAM;admin@itn-group.eu;04 92 90 64 80
COOPTIMISE;contact@cooptimise.fr;0633609296
COPERIS PARTNERS;info@coperis.com;01 30 75 06 38
COREXTRAD;infos@corextrad.com;05 96 60 46 36
CORINNE CABANES ET ASSOCIES;p.cherel@corinnecabanesetassocies.com;0534260404
CORSAIR SYSTEM;drh@corsair-system.fr;06 60 83 08 04
COSMO CONSULT SAS;fr.info@cosmoconsult.com;01 83 01 03 60
COSMOS CONSULTING;contact@cosmos-consulting.fr;04 13 57 04 25
CPC Analytics;mail@collaborative-policy.com;
craft ai;contact@craft.ai;
CREATIVE INGENIERIE;contact@creative-ingenierie.fr;02 99 27 20 65
CRÈME DE LA CRÈME;;
CRITEO;contact@criteo.com;01 40 40 22 90
CRYPTOLOG INTERNATIONAL;info@cryptolog.com;01 44 08 73 00
CRYSTALCHAIN;froseau@crystalchain.io;
CS SYSTEMES D'INFORMATION;marketing.cs@c-s.fr;01 41 28 40 00
CSE;contact@cse.fr;01 53 89 50 00
CSE PUBLISHING;consulting@csepublishing.fr;0680463335
CTAC Web Conseil et Gestion de projet e-commerce et digital;contact@ctacweb.com;
CURATOR STUDIO;contact@curatorstudio.com;01 44 61 14 31
CURSUS PRO;info@cursuspro.com;0182832200
CUSTOMARY;contact@customary.fr;09 65 19 81 28
CVO-EUROPE;communication@cyberconseil.com;04 72 84 61 61
CYBEL - E - LEARNING;contact@cybel.fr;01 42 56 25 97
CYBELETECH;contact@cybeletech.com;
CYBERHILL SAS;contact@cyberhill.fr;
CyberLogos;contact@cyberlogos.eu;
CYCLAD FRANCE;bds@cyclad.fr;01 76 21 57 62
CYCOM FINANCES GROUPE;ADMIN@CYCOMFINANCES.COM;01 77 69 02 10
CYLANDE GROUPE;contact@cylande.com;03 59 00 06 88
CYLOGIE SAS;contact@cylogie.fr;09 51 05 37 02
CYLRESC;contact@cylresc.eu;04 28 29 74 17
CYM PREDICTIVE MAINTENANCE;adrif@cym-iot.com;0635511930
CYNAPSYS TECHNOLOGIES;info@cynapsys.de;01 83 64 45 69
CYNSIS;contact@quakeshare.com;06 75 06 84 91
CYRWARE TECHNOLOGY;contact@cyrware-technology.com;
Cœur de Compétences;pro@coeurdecompetences.fr;
D-clics;stephaniepiot@gmail.com;
D.FI SERVICES;cds@d-fi.fr;01 58 87 32 00
D2E;contact@process2wine.com;05 35 54 00 35
D2X EXPERTISE;contact@d2x-expertise.com;04 78 94 87 87
DAILY BOARD;d.giunta@dailyboard.eu;
DAILYMOTION SA;prenom.nom@dailymotion.com;01 77 35 11 00
DALISYS;contact@dalisys.com;01 39 51 98 38
DARVA;darva@darva.com;05 49 77 14 14
Darwin Consulting et Finance;rui.guerra@darwincf.com;
DASHLANE;francois.bayard@dashlane.com;01 82 72 60 60
DASSAULT SYSTEMES BIOVIA SARL;;
DATA IN MOTION;contact@wdsolutions.fr;09 77 55 36 60
DATA PRIVACY PROFESSIONALS;contact@dataprivacy.pro;0606784965
DATA-MOOVE SAS;guignard@data-moove.fr;
DATAKEEN;bruno@datakeen.co;0689167266
DATALP;contact@datalp.com;04 50 71 93 33
DATALYO;info@datalyo.com;
DataRespect;p.michel@magush.io;
DATASOLUTION;info@datasolution.fr;01 83 79 02 10
DATAVALUE CONSULTING;gestion@datavalue-consulting.com;
DATRONIC;ndomec@datronic.fr;01 48 82 45 46
DAVI;davi@davi.ai;
Davidson Consulting;;01 41 90 68 38
DBSQWARE;michel.payan@dbsqware.com;0603625486
DCI;information@dci.fr;01 64 86 97 97
DCS EASYWARE;accueil@dcsit-group.com;04 78 95 81 70
DEAL INFORMATIQUE;;05 47 50 40 00
DECADE;webcontact@decade.fr;01 53 38 86 10
DEECISIONS/ decision-making collaborative solutions;yannick.grelot@deecisions.com;
DEEPKI;website@deepki.com;0146060919
DEKALEE;antoine@adback.co;0678795453
DELETEC;contact@deletec.fr;01 53 25 06 60
DELIGEO;deligeo@deligeo.fr;
DELIGHT;oliver@delight-data.com;
DELL SECUREWORKS; info@secureworks.com;01 80 60 20 00
DELTACAD;deltacad@deltacad.fr;03 44 90 78 40
DEMASYS;info@demasys.com;05 96 64 99 04
DEOLAN;adm@deolan.com;05 35 54 00 95
DES SYSTÈMES ET DES HOMMES;contact@s-h.fr;01 44 54 26 36
DESIRADE;herve.lambert@desirade.fr;05 81 31 30 80
DEV-HELP;jbtitz@dev-help.fr;06 85 03 57 75
DEVCOMWEB MICROLOGICIEL;contact@micrologiciel.com;01 75 43 63 30
DEVERYWARE;info@deveryware.com;01 80 90 54 80
DEVISUBOX;gna@devisubox.com;09 72 33 05 71
DEVOTEAM;finance@devoteam.com;01 41 49 48 48
DIFENSO;info@difenso.com;01.76.36.08.49
Digibloo;contact@digibloo.com;
DIGIMIND;contact@digimind.com;04 76 70 13 78
DIGITAL & YOU;paris@digitalandyou.com;
DIGITAL AQUITAINE;contact@adeiso.com;05 56 79 51 14
DIGITAL LEAGUE;;04 81 76 14 60
Digital Music Solutions;contact@digitalmusicsolutions.fr;
DIGITAL REUNION;equipe@digitalreunion.com;02 62 92 24 50
DIGITAL SURF;contact@digitalsurf.fr;
DIGITALPLACE;contact@digitalplace.fr;06 83 14 99 69
DIGITECH;contact@digitech.fr;04 95 06 94 00
DIGITFR;contact@digitfr.com;
DIGORA;isabelle.renou@digora.com;03 88 10 49 29
DII;infodii@dii.fr;02 32 64 38 88
DILITRUST;marketing@dilitrust.fr;
DIMA CONSULTING;contact@dimaconsulting.fr;0142007996
DIMELO SA;;01 77 37 27 57
DIMENSION DATA FRANCE;;01 49 75 86 00
DIMO SOFTWARE;contact@dimosoftware.com;04 72 86 01 90
DIRECT@WEB;info@direct-web.fr;03 86 71 60 50
DIROX;laurent.peguret@synexser.com;+33650466612
DISPLAYCE;laure.malergue@displayce.com;
DISTENE;info@distene.com;01 69 26 62 10
DITISCRM;contact@ditiscrm.com;
DIVALTO;info@divalto.fr;03 88 64 50 60
